id,name,category,brand,sku,priceMin,priceMax,priceRange,material,finish,size,image,imageVerified,availability,status,style,description,popularity,showroomName,showroomLocation,showroomContact,sellerType,sourceUrl,priceSource,isVerifiedSource,sourceNote
p_lavabo_001,Chậu rửa bán âm INAX L-333V,Lavabo,INAX,L-333V,2245000,2245000,2.245.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",91,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://www.inax.com.vn/vi/news/gia-bon-rua-mat/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_002,Chậu rửa bán âm INAX AL-345V,Lavabo,INAX,AL-345V,2310000,2310000,2.310.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",55,HITA Home,TP. Hồ Chí Minh,028 8888 6688,Đại lý phân phối,https://www.inax.com.vn/vi/news/gia-bon-rua-mat/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_003,Chậu rửa bán âm INAX AL-333V,Lavabo,INAX,AL-333V,2549000,2549000,2.549.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",62,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://www.inax.com.vn/vi/news/gia-bon-rua-mat/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_004,Chậu rửa bán âm INAX L-345V,Lavabo,INAX,L-345V,2930000,2930000,2.930.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",95,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Showroom đối tác,https://www.inax.com.vn/vi/news/gia-bon-rua-mat/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_005,Chậu rửa âm bàn INAX L-2293V,Lavabo,INAX,L-2293V,1400000,1700000,1.400.000đ – 1.700.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",64,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://www.inax.com.vn/vi/news/lavabo-am-ban/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_006,Chậu rửa âm bàn INAX L-2216V,Lavabo,INAX,L-2216V,1400000,1800000,1.400.000đ – 1.800.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",69,Interior Material Hub,"Long Biên, Hà Nội",024 2222 6699,Showroom đối tác,https://www.inax.com.vn/vi/news/lavabo-am-ban/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_007,Chậu rửa âm bàn INAX AL-2293V,Lavabo,INAX,AL-2293V,1700000,2100000,1.700.000đ – 2.100.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",80,HITA Home,TP. Hồ Chí Minh,028 8888 6688,Đại lý phân phối,https://www.inax.com.vn/vi/news/lavabo-am-ban/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_008,Chậu rửa âm bàn INAX AL-2216V,Lavabo,INAX,AL-2216V,1700000,2200000,1.700.000đ – 2.200.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",62,HomeBath Studio,"Đống Đa, Hà Nội",024 7777 1122,Showroom đối tác,https://www.inax.com.vn/vi/news/lavabo-am-ban/,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_009,Lavabo treo Caesar LF5263 + PF2463,Lavabo,Caesar,LF5263 + PF2463,2570000,2570000,2.570.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",69,Hải Linh Showroom,"Hà Đông, Hà Nội",024 3858 6655,Đại lý phân phối,https://caesar.com.vn/vi/san-pham/loai/25/lavabo-treo-tuong,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
p_lavabo_010,Lavabo treo Caesar L2150 + P2443,Lavabo,Caesar,L2150 + P2443,1480000,1480000,1.480.000đ,Sứ ceramic,Trắng bóng,Theo model,/images/products/placeholder-sanitary.png,FALSE,Cần xác nhận tồn kho,Đặt trước,Minimal,"Chậu rửa/lavabo phù hợp concept phòng tắm căn hộ và showroom. Giá là tham khảo, cần xác nhận tồn kho trước khi báo giá.",55,LivLab Partner Showroom,"Mỹ Đình, Hà Nội",024 0000 0000,Showroom đối tác,https://caesar.com.vn/vi/san-pham/loai/25/lavabo-treo-tuong,Nguồn giá/model từ website hãng hoặc trang giá tham khảo,TRUE,"Model/giá có nguồn tham khảo; ảnh đang dùng placeholder, cần thay bằng ảnh chính hãng trước khi dùng thương mại."
